lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.341058,39.867982",20,20
"116.348305,39.864498",60,60
"116.348555,39.865183",60,60
"116.351102,39.868389",20,20
"116.348074,39.864443",60,60
"116.347838,39.8608",60,60
"116.347946,39.861673",60,60
"116.346478,39.850873",60,60
"116.348638,39.867607",60,60
"116.362694,39.868878",20,20
"116.365743,39.869345",40,40
"116.359436,39.868553",20,20
"116.367791,39.869629",40,40
"116.368846,39.869766",40,40
"116.370023,39.869862",20,20
"116.373811,39.870162",20,20
"116.385143,39.871657",20,20
"116.387753,39.871664",20,20
"116.390532,39.871612",20,20
"116.345669,40.03363",20,20
"116.345417,40.034182",20,20
"116.34498,40.034767",20,20
"116.344637,40.035124",20,20
"116.343657,40.036387",20,20
"116.341662,40.039025",20,20
"116.341134,40.038829",40,20
"116.341204,40.038736",40,20
"116.31329,40.029097",20,20
"116.50435,39.8194",20,20
"116.505578,39.819846",20,20
"116.504207,39.819494",20,20
"116.499754,39.817895",20,20
"116.505431,39.819943",20,20
"116.505995,39.819997",20,20
"116.507483,39.820693",20,20
"116.507436,39.820524",20,20
"116.507615,39.820591",20,20
"116.509367,39.821231",20,20
"116.510146,39.821516",20,20
"116.510959,39.821817",20,20
"116.511519,39.822033",20,20
"116.511876,39.822209",20,20
"116.509208,39.821333",20,20
"116.511765,39.822323",20,20
"116.510856,39.821946",20,20
"116.510004,39.821612",20,20
"116.512523,39.822528",20,20
"116.512953,39.822756",20,20
"116.513573,39.823129",20,20
"116.514274,39.823568",20,20
"116.51637,39.825085",20,20
"116.516617,39.825269",20,20
"116.523051,39.830166",20,20
"116.523936,39.83078",20,20
"116.524779,39.831367",20,20
"116.527774,39.833602",20,20
"116.482501,39.838298",60,40
"116.492276,39.829156",40,40
"116.494467,39.827304",60,60
"116.498289,39.824319",20,20
"116.500576,39.822642",20,20
"116.478812,39.842041",20,20
"116.482426,39.845294",20,20
"116.48064,39.844189",20,20
"116.480195,39.843869",20,20
"116.479871,39.843594",20,20
"116.480317,39.844055",20,20
"116.479918,39.843972",20,20
"116.47753,39.843923",20,20
"116.477219,39.843973",20,20
"116.476881,39.844079",20,20
